Source_name,Telegram_id,Source_type,id_topic,Singol _trader,trader_name,trader_name_list,Parser_name,Active,Linked_to_bot,Telegram_Loging,Topic_id,Topic_name,ccxt/bybit 
Russin,"
","
","
","
","
","
","
","
","
","
","
","
","
"
PifSignal,-1003722628653,Super_group,3,true,Trader_A,"
",Trader_prova,true,true,-1004240829081,2,Clear_log,"
"
PifSignal,-1003722628653,Super_group,4,true,Trader_B,"
",Trader_prova,true,true,-1004240829081,2,Clear_log,"
"
PifSignal,-1003722628653,Super_group,5,true,Trader_C,"
",Trader_prova,true,true,-1004240829081,2,Clear_log,"
"
PifSignal,-1003722628653,Super_group,7,true,Trader_D,"
",Trader_prova,true,true,-1004240829081,2,Clear_log,"
"
PifSignal,-1003722628653,Super_group,8,true,Trader_3,"
",Trader_3,true,true,-1004240829081,2,Clear_log,"
"
PifSignal,-1003722628653,Super_group,4180,false,RSI_MultiTrader,sma_intraday; rsi_swing; rsi_intraday,Strategy_parser,true,true,-1004240829081,2,Clear_log,"
"
PifSignal,-1003722628653,Super_group,null,null,null,null,null,null,null,null,null,null,null
PifSignal,-1003722628653,Super_group,null,null,null,null,null,null,null,null,null,null,null
My_for_test,-1003927267771,Channel,null,false,trader_prova,"
",---,---,true,-1004240829081,637,Trader_prova,"
"
My_for_test,-1004298542632,Channel,null,false,"
","
",---,---,false,"
","
","
","
"
"
","
","
","
","
","
","
","
","
","
","
","
","
","
"
SoloTrade,-1001291483806,Channel,null,false,Solo_trader,"
",false,true,false,null,null,null,null
"
","
","
","
","
","
","
","
","
","
","
","
","
","
"
English,"
","
","
","
","
","
","
","
","
","
","
","
","
"
BinanceKillersVip1,-1002581410049,Channel,null,true,Trader_3_1,null,Trader_3_1,true,true,-1004240829081,871,BinanceKillersVip1,"
"
Crypto_InnerCircle_Official1,-1004281195829,Channel,null,false,null,null,null,false,false,null,null,null,null
WhaleTankcrypto_free,-1003969083438,Channel,null,false,null,null,null,false,false,null,null,null,null
global_crpto_haven,-1003370365375,Channel,null,false,null,null,null,false,false,null,null,null,null